serial_number,movie_name,introduction,description,star,evaluate
227,城市之光,1931/美国/喜剧剧情爱情,永远的小人物，伟大的卓别林。,9.3,72823人评价
228,血钻,2006/美国德国/剧情惊悚冒险,每个美丽事物背后都是滴血的现实。,8.6,217344人评价
229,彗星来的那一夜,2013/美国英国/科幻悬疑惊悚,小成本大魅力。,8.5,306581人评价
230,再次出发之纽约遇见你,2013/美国/喜剧爱情音乐,爱我就给我看你的播放列表。,8.5,266053人评价
231,追随,1998/英国/犯罪悬疑惊悚,诺兰的牛逼来源于内心散发出的恐惧。,8.9,116961人评价
232,疯狂的麦克斯4：狂暴之路,2015/澳大利亚美国/动作科幻冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6,325476人评价
233,一次别离,2011/伊朗法国/剧情家庭,只有有信仰的人才能说出事实真相。,8.7,178905人评价
234,东京物语,1953/日本/剧情家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,79920人评价
235,小偷家族,2018/日本/剧情犯罪家庭,我们组成了家。,8.7,496501人评价
236,遗愿清单,2007/美国/冒险喜剧剧情,用剩余不多的时间，去燃烧整个生命。,8.6,215540人评价
237,聚焦,2015/美国/剧情传记,新闻人的理性求真。,8.8,185441人评价
238,撞车,2004/美国德国/犯罪剧情,天使与魔鬼的冲撞。,8.6,231598人评价
239,色，戒,2007/中国台湾中国大陆美国中国香港/剧情爱情情色,假戏真情，爱欲深海,8.4,405625人评价
240,发条橙,1971/英国美国/犯罪剧情科幻,我完全康复了。,8.5,258557人评价
241,梦之安魂曲,2000/美国/剧情,一场没有春天的噩梦。,8.7,152596人评价
242,大佛普拉斯,2017/中国台湾/剧情喜剧犯罪,人们可以登上月球，却永远无法探索人们内心的宇宙。,8.7,218192人评价
243,黑鹰坠落,2001/美国/动作历史战争,还原真实而残酷的战争。,8.6,184973人评价
244,驴得水,2016/中国大陆/剧情喜剧,过去的如果就让它过去了，未来只会越来越糟！,8.3,560708人评价
245,E.T. 外星人,1982/美国/剧情科幻,生病的E.T.皮肤的颜色就像柿子饼。,8.6,227933人评价
246,我爱你,2011/韩国/剧情爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,93596人评价
